surface,molecule,functional,E_ads_DFT,E_ads_ML,delta_eV,source_commit
Au111,CH3,pbe_d3,-1.48,-1.79,-0.31,11b026e8de754c84d5b784e3036e0063b5e3c391
Au111,CH3,r2scan,-1.19,-1.79,-0.60,11b026e8de754c84d5b784e3036e0063b5e3c391
Au111,CO,pbe,-0.13,-0.59,-0.46,11b026e8de754c84d5b784e3036e0063b5e3c391
Au111,CO,pbe_d3,-0.29,-0.59,-0.30,11b026e8de754c84d5b784e3036e0063b5e3c391
Au111,CO,r2scan,-0.10,-0.59,-0.49,11b026e8de754c84d5b784e3036e0063b5e3c391
Au111,CO2,pbe,-0.024,-0.40,-0.373,11b026e8de754c84d5b784e3036e0063b5e3c391
Au111,CO2,r2scan,-0.06,-0.40,-0.34,11b026e8de754c84d5b784e3036e0063b5e3c391
Au111,DME,pbe,-4.65,-0.16,+4.49,11b026e8de754c84d5b784e3036e0063b5e3c391
Au111,DME,r2scan,-0.02,-0.16,-0.15,11b026e8de754c84d5b784e3036e0063b5e3c391
Au111,H2,pbe,-0.00,-0.24,-0.24,11b026e8de754c84d5b784e3036e0063b5e3c391
Au111,H2,pbe_d3,-0.08,-0.24,-0.17,11b026e8de754c84d5b784e3036e0063b5e3c391
Au111,H2,r2scan,-0.02,-0.24,-0.23,11b026e8de754c84d5b784e3036e0063b5e3c391
Au111,H2O,pbe,-0.04,-0.51,-0.47,11b026e8de754c84d5b784e3036e0063b5e3c391
Au111,H2O,pbe_d3,-0.30,-0.51,-0.21,11b026e8de754c84d5b784e3036e0063b5e3c391
Au111,H2O,r2scan,-0.10,-0.51,-0.41,11b026e8de754c84d5b784e3036e0063b5e3c391
Au111,H2S,pbe,-0.14,-0.41,-0.26,11b026e8de754c84d5b784e3036e0063b5e3c391
Au111,H2S,pbe_d3,-0.54,-0.41,+0.13,11b026e8de754c84d5b784e3036e0063b5e3c391
Au111,N2,pbe,-0.01,-0.09,-0.08,11b026e8de754c84d5b784e3036e0063b5e3c391
Au111,N2,pbe_d3,-0.10,-0.09,+0.01,11b026e8de754c84d5b784e3036e0063b5e3c391
Au111,N2,r2scan,-0.02,-0.09,-0.06,11b026e8de754c84d5b784e3036e0063b5e3c391
Au111,NH3,pbe,-0.06,-0.54,-0.48,11b026e8de754c84d5b784e3036e0063b5e3c391
Au111,NH3,pbe_d3,-0.31,-0.54,-0.23,11b026e8de754c84d5b784e3036e0063b5e3c391
Au111,NH3,r2scan,-0.13,-0.54,-0.41,11b026e8de754c84d5b784e3036e0063b5e3c391
Au111,NO,pbe,-0.66,-0.68,-0.03,11b026e8de754c84d5b784e3036e0063b5e3c391
Au111,NO,pbe_d3,-0.86,-0.68,+0.18,11b026e8de754c84d5b784e3036e0063b5e3c391
Au111,NO,r2scan,-0.96,-0.68,+0.27,11b026e8de754c84d5b784e3036e0063b5e3c391
Au111,O2,pbe,0.39,-0.15,-0.54,11b026e8de754c84d5b784e3036e0063b5e3c391
Au111,SO2,pbe,-0.05,-0.26,-0.21,11b026e8de754c84d5b784e3036e0063b5e3c391
Au111,SO2,pbe_d3,-0.53,-0.26,+0.27,11b026e8de754c84d5b784e3036e0063b5e3c391
Au111,acetaldehyde,pbe,-0.05,-0.27,-0.22,11b026e8de754c84d5b784e3036e0063b5e3c391
Au111,acetaldehyde,pbe_d3,-0.40,-0.27,+0.13,11b026e8de754c84d5b784e3036e0063b5e3c391
Au111,acetaldehyde,r2scan,0.05,-0.27,-0.31,11b026e8de754c84d5b784e3036e0063b5e3c391
