name,surface,molecule,n_metal,n_mol,old_energy,old_functional,new_energy,functional,mode,status,complex_snapshot_id
Au110_cyclobutanone,Au110,cyclobutanone,64,11,0.431,r2scan,,,,no validated size-matched selection,
Au110_cyclohexanone,Au110,cyclohexanone,64,17,0.347,r2scan,,,,no validated size-matched selection,
Au110_cyclopentanone,Au110,cyclopentanone,64,14,0.372,r2scan,,,,no validated size-matched selection,
Au110_diethyl_ether,Au110,diethyl_ether,64,15,0.398,r2scan,,,,no validated size-matched selection,
Au110_dimethyl_succinate,Au110,dimethyl_succinate,64,17,0.593,r2scan,,,,no validated size-matched selection,
Au110_ethane,Au110,ethane,64,8,0.461,r2scan,,,,no validated size-matched selection,
Au110_ethanol,Au110,ethanol,64,9,0.347,r2scan,,,,no validated size-matched selection,
Au110_ethene,Au110,ethene,64,6,0.116,r2scan,,,,no validated size-matched selection,
Au110_ethyl_acetate,Au110,ethyl_acetate,64,14,0.334,r2scan,,,,no validated size-matched selection,
Au110_ethylene,Au110,ethylene,64,6,0.122,r2scan,,,,no validated size-matched selection,
Au110_ethylene_glycol,Au110,ethylene_glycol,64,10,0.063,r2scan,,,,no validated size-matched selection,
Au110_eugenol,Au110,eugenol,64,24,0.252,r2scan,,,,no validated size-matched selection,
Au110_formaldehyde,Au110,formaldehyde,64,4,0.308,r2scan,,,,no validated size-matched selection,
Au110_formate,Au110,formate,64,4,-2.847,r2scan,,,,no validated size-matched selection,
Au110_formic_acid,Au110,formic_acid,64,5,0.447,r2scan,,,,no validated size-matched selection,
Au110_furan,Au110,furan,64,9,-0.266,r2scan,,,,no validated size-matched selection,
Au110_furfural,Au110,furfural,64,11,-0.177,r2scan,,,,no validated size-matched selection,
Au110_furfuryl_alcohol,Au110,furfuryl_alcohol,64,13,0.494,r2scan,,,,no validated size-matched selection,
Au110_gamma_butyrolactone,Au110,gamma_butyrolactone,64,12,0.521,r2scan,,,,no validated size-matched selection,
Au110_gamma_valerolactone,Au110,gamma_valerolactone,64,15,0.396,r2scan,,,,no validated size-matched selection,
Au110_gluconic_acid,Au110,gluconic_acid,64,25,0.46,r2scan,,,,no validated size-matched selection,
Au110_glutaric_acid,Au110,glutaric_acid,64,17,0.085,r2scan,,,,no validated size-matched selection,
Au110_glycerol,Au110,glycerol,64,14,0.35,r2scan,,,,no validated size-matched selection,
Au110_glycolic_acid,Au110,glycolic_acid,64,9,0.333,r2scan,,,,no validated size-matched selection,
Au110_glyoxal,Au110,glyoxal,64,6,-2.474,beef_vdw,,,,no validated size-matched selection,
Au110_guaiacol,Au110,guaiacol,64,17,0.237,r2scan,,,,no validated size-matched selection,
Au110_heptane,Au110,heptane,64,23,0.311,r2scan,,,,no validated size-matched selection,
Au110_hexanal,Au110,hexanal,64,19,0.318,r2scan,,,,no validated size-matched selection,
Au110_hexane,Au110,hexane,64,20,0.114,r2scan,,,,no validated size-matched selection,
Au110_hydroquinone,Au110,hydroquinone,64,14,-7.284,r2scan,,,,no validated size-matched selection,
Au110_hydroxyacetaldehyde,Au110,hydroxyacetaldehyde,64,8,0.466,r2scan,,,,no validated size-matched selection,
Au110_isobutane,Au110,isobutane,64,14,0.407,r2scan,,,,no validated size-matched selection,
Au110_isobutene,Au110,isobutene,64,12,-0.079,r2scan,,,,no validated size-matched selection,
